Date,Adj Close,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_SIGNAL,MACD_DIFF,BB_MAVG,BB_HIGH,BB_LOW,Target_Close_Next
2015-01-02,14.620667457580566,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000,,,,,,,,14.005999565124512
2015-01-05,14.005999565124512,14.005999565124512,14.43333339691162,13.810667037963867,14.303333282470703,80527500,,,,,,,,14.085332870483398
2015-01-06,14.085332870483398,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500,,,,,,,,14.063332557678224
2015-01-07,14.063332557678224,14.063332557678224,14.3186674118042,13.985333442687988,14.223333358764648,44526000,,,,,,,,14.041333198547363
2015-01-08,14.041333198547363,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994627,51637500,,,,,,,,13.77733325958252
2015-01-09,13.77733325958252,13.77733325958252,13.998666763305664,13.663999557495115,13.928000450134276,70024500,,,,,,,,13.480667114257812
2015-01-12,13.480667114257812,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,89254500,,,,,,,,13.616666793823242
2015-01-13,13.616666793823242,13.616666793823242,13.84066677093506,13.394000053405762,13.554667472839355,67159500,,,,,,,,12.845999717712402
2015-01-14,12.845999717712402,12.845999717712402,13.013333320617676,12.333333015441896,12.388667106628418,173278500,,,,,,,,12.791333198547363
2015-01-15,12.791333198547363,12.791333198547363,13.050000190734863,12.666666984558104,12.965999603271484,78247500,,,,,,,,12.871333122253418
2015-01-16,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000,,,,,,,,12.795332908630373
2015-01-20,12.795332908630373,12.795332908630373,12.941332817077637,12.469332695007324,12.924667358398438,67548000,,,,,,,,13.104666709899902
2015-01-21,13.104666709899902,13.104666709899902,13.245332717895508,12.633999824523926,12.636667251586914,62295000,,,,,,,,13.441332817077637
2015-01-22,13.441332817077637,13.441332817077637,13.54933261871338,13.013333320617676,13.133333206176758,61753500,39.61419179243271,,,,,,,13.419333457946776
2015-01-23,13.419333457946776,13.419333457946776,13.56666660308838,13.222000122070312,13.352666854858398,51579000,39.16058853307945,,,,,,,13.770000457763672
2015-01-26,13.770000457763672,13.770000457763672,13.907999992370604,13.403332710266112,13.45533275604248,48517500,49.15472968314988,,,,,,,13.732000350952148
2015-01-27,13.732000350952148,13.732000350952148,13.868666648864746,13.553333282470703,13.628000259399414,41715000,48.230130480769496,,,,,,,13.291333198547363
2015-01-28,13.291333198547363,13.291333198547363,13.758000373840332,13.227999687194824,13.740667343139648,47244000,39.05563055655441,,,,,,,13.68000030517578
2015-01-29,13.68000030517578,13.68000030517578,13.732000350952148,13.100000381469728,13.404666900634766,53221500,48.382078471049255,,,,,,,13.57333278656006
2015-01-30,13.57333278656006,13.57333278656006,13.83133316040039,13.533332824707031,13.597332954406738,45105000,46.28847401856425,,,,13.550366592407226,14.520013723711442,12.58071946110301,14.062666893005373
2015-02-02,14.062666893005373,14.062666893005373,14.130000114440918,13.553333282470703,13.597999572753906,62238000,55.7485674284916,,,,13.522466564178467,14.394523583040344,12.65040954531659,14.557332992553713
2015-02-03,14.557332992553713,14.557332992553713,14.691332817077637,14.084667205810549,14.214667320251465,72393000,62.86830591567863,,,,13.550033235549927,14.511736220352983,12.588330250746871,14.56999969482422
2015-02-04,14.56999969482422,14.56999969482422,14.76533317565918,14.453332901000977,14.552666664123535,49581000,63.03232521027394,,,,13.574266576766968,14.610259234776603,12.538273918757334,14.732666969299316
2015-02-05,14.732666969299316,14.732666969299316,15.031999588012695,14.642666816711426,14.658666610717772,52843500,65.16066675137824,,,,13.607733297348023,14.743225212357085,12.47224138233896,14.490667343139648
2015-02-06,14.490667343139648,14.490667343139648,14.893333435058594,14.43333339691162,14.800000190734863,48658500,59.657839300413684,,,,13.630200004577636,14.815795048551573,12.4446049606037,14.498666763305664
2015-02-09,14.498666763305664,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657228,52086000,59.778755468828756,0.13207579445098006,,,13.666266679763794,14.910030986743646,12.422502372783942,14.419333457946776
2015-02-10,14.419333457946776,14.419333457946776,14.699999809265137,14.333333015441896,14.50333309173584,80857500,57.92450136126703,0.14419761748207982,,,13.713199996948243,14.995647337390222,12.430752656506263,14.186667442321776
2015-02-11,14.186667442321776,14.186667442321776,14.315999984741213,13.8186674118042,14.147333145141602,146536500,52.756090050540934,0.1334912426277306,,,13.741700029373169,15.039541593709282,12.443858465037055,13.525333404541016
2015-02-12,13.525333404541016,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000,41.438143046408335,0.07082579786044363,,,13.7756667137146,15.012066680207734,12.539266747221465,13.584667205810549
2015-02-13,13.584667205810549,13.584667205810549,13.732666969299316,13.394000053405762,13.526666641235352,92865000,42.62737281769891,0.025654988553039715,,,13.81533341407776,14.971146875351266,12.659519952804253,13.623332977294922
2015-02-17,13.623332977294922,13.623332977294922,13.713333129882812,13.43333339691162,13.713333129882812,59694000,43.433529037537454,-0.006943162193929098,,,13.852933406829834,14.929685580170242,12.776181233489426,13.630666732788086
2015-02-18,13.630666732788086,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,40704000,43.59541653073979,-0.03181887060655342,,,13.89470009803772,14.863510785909732,12.92588941016571,14.11400032043457
2015-02-19,14.11400032043457,14.11400032043457,14.162667274475098,13.583333015441896,13.666666984558104,77311500,53.11819661746971,-0.012389252022350306,,,13.945166778564452,14.846939794459054,13.04339376266985,14.473999977111816
2015-02-20,14.473999977111816,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500,58.7097975073576,0.031692493008156575,0.041521232600798416,-0.009828739592641841,13.996800136566161,14.895517965358483,13.09808230777384,13.822667121887209
