completed_at,ticker,feature_set,model_type,window_size,hidden_size,learning_rate,dropout,max_epochs,patience,seed,best_epoch,stopped_epoch,best_val_loss,best_val_RMSE,best_val_MAE,best_val_MAPE,test_loss,test_RMSE,test_MAE,test_MAPE,train_samples,validation_samples,test_samples,input_shape,device,best_model_path,output_dir
2026-03-27T20:00:52,MSFT,baseline,gru,20,128,0.001,0.0,500,20,42,259,279,25.670763288225448,5.07945442199707,4.013238430023193,1.3729314804077148,9443.827362060549,94.93255615234376,83.41047668457031,18.265771865844727,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_195954_MSFT_baseline_gru_w20_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_195954_MSFT_baseline_gru_w20_d0p0
2026-03-27T20:02:04,MSFT,baseline,gru,20,128,0.001,0.2,500,20,42,339,359,48.77813557216099,6.992303371429443,5.489482879638672,1.879047393798828,9866.75971476237,97.08462524414062,86.02826690673828,18.881303787231445,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_200052_MSFT_baseline_gru_w20_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_200052_MSFT_baseline_gru_w20_d0p2
2026-03-27T20:02:41,MSFT,baseline,gru,20,128,0.001,0.4,500,20,42,171,191,65.77187756129673,8.186333656311035,6.447760105133057,2.154608726501465,31939.39723714193,172.35296630859375,140.48687744140625,30.345916748046875,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_200204_MSFT_baseline_gru_w20_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_200204_MSFT_baseline_gru_w20_d0p4
2026-03-27T20:11:19,MSFT,baseline,gru,60,32,0.0005,0.0,500,20,42,500,500,52.563436780657085,7.316491603851318,5.589583396911621,1.8433854579925537,13468.04448106554,113.69239044189452,103.6693878173828,22.930362701416016,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_200945_MSFT_baseline_gru_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_200945_MSFT_baseline_gru_w60_d0p0
2026-03-27T20:12:55,MSFT,baseline,gru,60,32,0.0005,0.2,500,20,42,498,500,221.3032602582659,14.883455276489258,11.746264457702637,3.711511850357056,16907.676852756078,127.63873291015624,118.8503189086914,26.45846366882324,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_201119_MSFT_baseline_gru_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_201119_MSFT_baseline_gru_w60_d0p2
2026-03-27T20:14:31,MSFT,baseline,gru,60,32,0.0005,0.4,500,20,42,500,500,519.7175925118582,22.653051376342773,18.26580047607422,5.701282501220703,19961.777506510414,138.87435913085938,130.84201049804688,29.24262809753418,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_201255_MSFT_baseline_gru_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_201255_MSFT_baseline_gru_w60_d0p4
2026-03-27T20:07:09,MSFT,baseline,gru,60,32,0.001,0.0,500,20,42,424,444,26.89005810873849,5.2428975105285645,4.015421390533447,1.3623610734939575,12822.803395589191,110.81700897216795,100.10958099365234,22.0832576751709,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_200546_MSFT_baseline_gru_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_200546_MSFT_baseline_gru_w60_d0p0
2026-03-27T20:08:33,MSFT,baseline,gru,60,32,0.001,0.2,500,20,42,421,441,54.86800466264997,7.486694812774658,5.88557243347168,1.9571897983551023,12314.404303656684,108.65581512451172,98.50303649902344,21.75277709960937,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_200709_MSFT_baseline_gru_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_200709_MSFT_baseline_gru_w60_d0p2
2026-03-27T20:09:45,MSFT,baseline,gru,60,32,0.001,0.4,500,20,42,352,372,197.7493896484375,14.075079917907717,11.15062427520752,3.526113510131836,16482.809312608508,125.99478912353516,117.05654907226562,26.040395736694336,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_200833_MSFT_baseline_gru_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_200833_MSFT_baseline_gru_w60_d0p4
2026-03-27T20:19:10,MSFT,baseline,gru,60,64,0.0005,0.0,500,20,42,497,500,29.26172583443778,5.442760467529297,4.265309810638428,1.4383792877197266,10318.262447781031,99.29544067382812,88.1963882446289,19.368244171142575,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_201735_MSFT_baseline_gru_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_201735_MSFT_baseline_gru_w60_d0p0
2026-03-27T20:20:35,MSFT,baseline,gru,60,64,0.0005,0.2,500,20,42,426,446,48.99346242632185,7.078086853027344,5.481626510620117,1.827847003936768,12198.55189344618,108.14534759521484,98.0185775756836,21.643945693969727,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_201910_MSFT_baseline_gru_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_201910_MSFT_baseline_gru_w60_d0p2
2026-03-27T20:21:59,MSFT,baseline,gru,60,64,0.0005,0.4,500,20,42,423,443,106.52334703717914,10.43790340423584,8.027937889099121,2.600555181503296,36317.49347601997,184.0057678222656,161.56072998046875,35.483154296875,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_202035_MSFT_baseline_gru_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_202035_MSFT_baseline_gru_w60_d0p4
2026-03-27T20:15:37,MSFT,baseline,gru,60,64,0.001,0.0,500,20,42,329,349,27.588748659406388,5.293400287628174,4.140525817871094,1.4095025062561035,11136.721622043186,103.1980209350586,92.15904235839844,20.266366958618164,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_201431_MSFT_baseline_gru_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_201431_MSFT_baseline_gru_w60_d0p0
2026-03-27T20:16:40,MSFT,baseline,gru,60,64,0.001,0.2,500,20,42,306,326,41.85259410313198,6.501567840576172,5.050320625305176,1.6857024431228638,11451.956631130644,104.70716094970705,94.05256652832033,20.716289520263672,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_201537_MSFT_baseline_gru_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_201537_MSFT_baseline_gru_w60_d0p2
2026-03-27T20:17:35,MSFT,baseline,gru,60,64,0.001,0.4,500,20,42,265,285,91.08517129080636,9.688416481018066,7.781913280487059,2.593712091445923,13980.697279188367,115.86203002929688,106.16436004638672,23.51708221435547,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_201640_MSFT_baseline_gru_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_201640_MSFT_baseline_gru_w60_d0p4
